corrected_predicted_sample_predicted_o2_predicted_time	seq_batch_path	00	sample_number
HG02397_2.5_24	1	01	1
HG00978_ATM_0	1	02	2
HG00978_5_24	1	03	3
HG01939_ATM_48	1	04	4
HG01918_2.5_48	1	05	5
HG01918_5_4	1	06	6
HG00978_ATM_4	1	07	7
HG01924_2.5_24	1	08	8
HG02397_ATM_0	1	09	9
HG02397_5_4	1	10	10
HG02397_5_24	1	11	11
HG02397_ATM_4	1	12	12
HG01924_5_48	1	13	13
HG01566_5_48	1	14	14
HG00978_2.5_24	1	15	15
HG01918_5_48	1	16	16
HG01924_2.5_4	1	17	17
HG01566_ATM_24	1	18	18
HG01939_2.5_48	1	19	19
HG01939_ATM_24	1	20	20
HG01924_5_4	1	21	21
HG01924_ATM_0	1	22	22
HG01939_5_48	1	23	23
HG01918_ATM_48	1	24	24
HG01924_ATM_4	1	25	25
HG01924_5_24	1	26	26
HG01939_2.5_24	1	27	27
HG01566_2.5_4	1	28	28
HG01566_ATM_48	1	29	29
HG01918_ATM_24	1	30	30
HG01566_5_4	1	31	31
HG00978_2.5_4	1	32	32
HG01566_5_24	1	33	33
HG01566_ATM_0	1	34	34
HG01918_ATM_4	1	35	35
HG01924_ATM_24	1	36	36
HG01924_ATM_48	1	37	37
HG01566_2.5_24	1	38	38
HG02397_2.5_48	1	39	39
HG00978_ATM_48	1	40	40
HG02397_ATM_48	1	41	41
HG01566_ATM_4	1	42	42
HG01939_5_4	1	43	43
HG01918_5_24	1	44	44
HG00978_ATM_24	1	45	45
HG02397_5_48	1	46	46
HG00978_5_48	1	47	47
HG02397_2.5_4	1	48	48
HG01939_ATM_4	1	49	49
HG02397_ATM_24	1	50	50
HG01939_ATM_0	2	61	51
HG00978_2.5_48	2	62	52
HG01918_ATM_0	2	51	53
HG01939_5_24	2	52	54
HG01566_2.5_48	2	53	55
HG01918_2.5_4	2	54	56
HG01939_2.5_4	2	55	57
HG00978_5_4	2	56	58
HG01924_2.5_48	2	57	59
HG01918_2.5_24	2	58	60
HG02190_2.5_48	2	59	61
HG01578_Atm_4	2	60	62
HG02390_2.5_48	2	73	63
HG02187_5_4	2	74	64
HG02187_2.5_48	2	63	65
HG02390_5_4	2	64	66
HG02390_Atm_4	2	65	67
HG02190_Atm_24	2	66	68
HG02187_5_48	2	67	69
HG01578_Atm_24	2	68	70
HG01578_2.5_4	2	69	71
HG02187_Atm_48	2	70	72
HG02187_5_24	2	71	73
HG02190_5_4	2	72	74
HG02390_Atm_48	2	85	75
HG02187_2.5_24	2	86	76
HG01578_5_24	2	75	77
HG02190_5_24	2	76	78
HG02390_2.5_4	2	77	79
HG02190_ATM_0	2	78	80
HG02390_Atm_24	2	79	81
HG02190_2.5_4	2	80	82
HG02187_ATM_0	2	81	83
HG01578_5_48	2	82	84
HG02190_Atm_48	2	83	85
HG02187_Atm_24	2	84	86
HG02190_Atm_4	2	47	87
HG02190_2.5_24	2	48	88
HG01578_2.5_48	2	87	89
HG01578_2.5_24	2	88	90
HG02390_5_48	2	89	91
HG01578_ATM_0	2	90	92
HG01578_5_4	2	91	93
HG02390_2.5_24	2	92	94
HG02390_ATM_0	2	93	95
HG02187_Atm_4	2	94	96
HG02390_5_24	2	95	97
HG01578_Atm_48	2	96	98
HG02190_5_48	2	49	99
HG02187_2.5_4	2	50	100
